 0,01 ; 0,02 ;;;;;;;;;;;;;
 0,16 ; 0,46 ;;;;;;;;;;;;;
 0,19 ; 0,25 ;;;;;;;;;;;;;
 0,11 ; 0,34 ;;;;;;;;;;;;;
 0,27 ; 0,27 ;;;;;;;;;;;;;
 0,27 ; 0,27 ;;;;;;;;;;;;;
 0,10 ; 0,12 ;;;;;;;;;;;;;
 0,14 ; 0,18 ;;;;;;;;;;;;;
 0,02 ; 0,02 ;;;;;;;;;;;;;
 0,18 ; 0,23 ;;;;;;;;;;;;;
 0,23 ; 0,31 ;;;;;;;;;;;;;
 0,17 ; 0,21 ;;;;;;;;;;;;;
 0,05 ; 0,06 ;;;;;;;;;;;;;
 0,10 ; 0,11 ;;;;;;;;;;;;;
 0,04 ; 0,20 ;;;;;;;;;;;;;
 0,21 ; 0,27 ;;;;;;;;;;;;;
 0,09 ; 0,19 ;;;;;;;;;;;;;
 0,40 ; 0,40 ;;;;;;;;;;;;;
 0,23 ; 0,30 ;;;;;;;;;;;;;
 0,42 ; 0,68 ;;;;;;;;;;;;;
 0,20 ; 0,22 ;;;;;;;;;;;;;
 0,03 ; 0,04 ;;;;;;;;;;;;;
 0,63 ; 0,70 ;;;;;;;;;;;;;
 0,20 ; 0,65 ;;;;;;;;;;;;;
 0,10 ; 0,13 ;;;;;;;;;;;;;
 0,32 ; 0,64 ;;;;;;;;;;;;;
 0,35 ; 0,35 ;;;;;;;;;;;;;
 0,05 ; 0,15 ;;;;;;;;;;;;;
 0,07 ; 0,08 ;;;;;;;;;;;;;
 0,03 ; 0,14 ;;;;;;;;;;;;;
 0,10 ; 0,12 ;;;;;;;;;;;;;
 0,65 ; 0,68 ;;;;;;;;;;;;;
 0,05 ; 0,07 ;;;;;;;;;;;;;
 0,09 ; 0,11 ;;;;;;;;;;;;;
 0,14 ; 0,34 ;;;;;;;;;;;;;
 0,27 ; 0,37 ;;;;;;;;;;;;;
 0,25 ; 0,29 ;;;;;;;;;;;;;
 0,73 ; 0,89 ;;;;;;;;;;;;;
 0,04 ; 0,24 ;;;;;;;;;;;;;
 0,24 ; 0,76 ;;;;;;;;;;;;;
 0,15 ; 0,23 ;;;;;;;;;;;;;
 0,16 ; 0,24 ;;;;;;;;;;;;;
 0,12 ; 0,33 ;;;;;;;;;;;;;
 0,15 ; 0,43 ;;;;;;;;;;;;;
 0,16 ; 0,47 ;;;;;;;;;;;;;
 0,18 ; 0,53 ;;;;;;;;;;;;;
 0,20 ; 0,29 ;;;;;;;;;;;;;
 0,26 ; 0,69 ;;;;;;;;;;;;;
 0,21 ; 0,31 ;;;;;;;;;;;;;
