filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2
ALCP071.COB ; 996 ; 712 ; 225 ; 73; 29 ; 30 ; 27; 20
ALCP072.COB ; 3668 ; 1107 ; 422 ; 182; 27 ; 36 ; 25; 28
ALCP076.COB ; 3196 ; 1820 ; 612 ; 392; 29 ; 33 ; 27; 23
ALCP077.COB ; 5308 ; 1902 ; 617 ; 354; 33 ; 27 ; 32; 18
ALCP078.COB ; 1016 ; 723 ; 209 ; 110; 70 ; 79 ; 69; 38
ALCP079.COB ; 1889 ; 1241 ; 387 ; 196; 29 ; 31 ; 27; 23
ALCP080.COB ; 1361 ; 553 ; 125 ; 42; 30 ; 33 ; 28; 22
ALCP081.COB ; 2955 ; 1471 ; 430 ; 219; 27 ; 31 ; 25; 23
ALCP082.COB ; 2554 ; 935 ; 255 ; 139; 22 ; 23 ; 22; 14
ALCP083.COB ; 5607 ; 3020 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP084.COB ; 3690 ; 1257 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP089.COB ; 1778 ; 670 ; 241 ; 75; 77 ; 52 ; 77; 38
ALCP090.COB ; 7835 ; 4541 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP091.COB ; 3476 ; 1419 ; 464 ; 220; 76 ; 70 ; 74; 46
ALCP094.COB ; 2022 ; 1539 ; 551 ; 145; 84 ; 106 ; 84; 61
ALCP095.COB ; 1159 ; 756 ; 213 ; 119; 84 ; 106 ; 84; 61
ALCP097.COB ; 2708 ; 1219 ; 407 ; 187; 29 ; 30 ; 27; 20
ALCP120.COB ; 1791 ; 1050 ; 491 ; 168; 42 ; 20 ; 42; 12
ALCP201.COB ; 8665 ; 5929 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP202.COB ; 1512 ; 912 ; 371 ; 108; 40 ; 36 ; 38; 24
ALCP206.COB ; 1638 ; 1095 ; 412 ; 173; 29 ; 28 ; 27; 20
ALCP208.COB ; 2097 ; 1076 ; 378 ; 147; 37 ; 31 ; 37; 21
ALCP209.COB ; 3053 ; 1646 ; 456 ; 264; 58 ; 50 ; 57; 34
ALCP215.COB ; 1075 ; 685 ; 206 ; 113; 122 ; 140 ; 120; 79
ALCP218.COB ; 1579 ; 705 ; 206 ; 82; 44 ; 37 ; 42; 24
ALCP221.COB ; 828 ; 666 ; 239 ; 117; 54 ; 30 ; 53; 22
ALCP242.COB ; 4170 ; 2717 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP243.COB ; 4163 ; 2826 ; 1064 ; 626; 24 ; 25 ; 22; 16
ALCP244.COB ; 7357 ; 4113 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP246.COB ; 1509 ; 1327 ; 735 ; 361; 49 ; 29 ; 49; 22
ALCP247.COB ; 643 ; 467 ; 120 ; 45; 41 ; 41 ; 39; 27
ALCP250.COB ; 1339 ; 889 ; 328 ; 138; 26 ; 26 ; 26; 16
ALCP252.COB ; 1496 ; 1322 ; 710 ; 353; 58 ; 35 ; 57; 24
ALCP254.COB ; 1896 ; 1684 ; 944 ; 478; 58 ; 36 ; 57; 23
ALCP256.COB ; 1589 ; 1407 ; 783 ; 393; 47 ; 29 ; 47; 22
ALCP259.COB ; 604 ; 407 ; 108 ; 33; 34 ; 27 ; 32; 19
ALCP262.COB ; 1329 ; 773 ; 308 ; 123; 47 ; 26 ; 47; 16
ALCP263.COB ; 1880 ; 1373 ; 451 ; 219; 41 ; 38 ; 41; 25
ALCP264.COB ; 458 ; 417 ; 137 ; 49; 64 ; 39 ; 62; 28
ALCP298.COB ; 837 ; 493 ; 134 ; 48; 31 ; 31 ; 31; 19
ALCP306.COB ; 5764 ; 2619 ; 1131 ; 611; 23 ; 23 ; 23; 14
ALCP325.COB ; 2074 ; 756 ; 289 ; 122; 86 ; 65 ; 86; 39
ALCP326.COB ; 1796 ; 925 ; 393 ; 174; 22 ; 10 ; 20; 6
ALCP331.COB ; 1678 ; 596 ; 195 ; 63; 59 ; 45 ; 59; 31
ALCP333.COB ; 502 ; 479 ; 155 ; 63; 37 ; 24 ; 37; 17
ALCP335.COB ; 2174 ; 1497 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP336.COB ; 408 ; 369 ; 98 ; 29; 39 ; 28 ; 37; 20
ALCP337.COB ; 1218 ; 1045 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP342.COB ; 7746 ; 4049 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP345.COB ; 3213 ; 1084 ; 363 ; 163; 50 ; 40 ; 50; 27
ALCP420.COB ; 3673 ; 1291 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP421.COB ; 951 ; 554 ; 241 ; 68; 46 ; 40 ; 44; 28
ALCP422.COB ; 1528 ; 953 ; 410 ; 150; 46 ; 40 ; 44; 28
ALCP423.COB ; 2538 ; 681 ; 279 ; 76; 46 ; 40 ; 44; 28
ALCP424.COB ; 846 ; 588 ; 144 ; 62; 22 ; 22 ; 20; 14
ALCP425.COB ; 1136 ; 436 ; 113 ; 53; 39 ; 28 ; 37; 18
ALCP470.COB ; 2494 ; 1615 ; 513 ; 287; 29 ; 30 ; 27; 20
ALCP500.COB ; 5124 ; 3373 ; 1535 ; 612; 40 ; 27 ; 39; 19
ALCP502.COB ; 6183 ; 3301 ; 1342 ; 521; 59 ; 38 ; 59; 25
ALCP504.COB ; 6370 ; 3090 ; 1102 ; 484; 23 ; 22 ; 21; 14
ALCP505.COB ; 601 ; 413 ; 128 ; 34; 44 ; 29 ; 44; 20
ALCP519.COB ; 6619 ; 3743 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP520.COB ; 5343 ; 1785 ; 758 ; 379; 20 ; 11 ; 18; 7
ALCP540.COB ; 8943 ; 4983 ; ERROR; ERROR; ERROR; ERROR; ERROR; ERROR
ALCP542.COB ; 6527 ; 1410 ; 621 ; 312; 44 ; 21 ; 42; 14
