filename; file size V1; file size V2; LTS size V1; LTS size V2; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCU024.COB ; 2811 ; 2096 ; 877 ; 510; 75 ; 51 ; 69; 30;  4; 0
ALCU026.COB ; 5431 ; 3803 ; 1484 ; 849; 110 ; 70 ; 104; 46;  4; 0
ALCU027.COB ; 1359 ; 798 ; 238 ; 110; 39 ; 37 ; 33; 21;  4; 0
ALCU028.COB ; 2100 ; 1213 ; 555 ; 294; 49 ; 35 ; 43; 20;  2; 0
ALCU029.COB ; 6177 ; 3982 ; 905 ; 551; 40 ; 35 ; 36; 21;  2; 0
ALCU030.COB ; 16361 ; 16090 ; 7477 ; 4972; 42 ; 34 ; 38; 20;  2; 0
ALCU031.COB ; 1918 ; 1353 ; 278 ; 166; 44 ; 37 ; 40; 22;  2; 0
ALCU034.COB ; 1104 ; 898 ; 382 ; 148; 84 ; 68 ; 76; 37;  6; 0
ALCU036.COB ; 1413 ; 996 ; 468 ; 148; 200 ; 133 ; 194; 77;  4; 0
ALCU039.COB ; 435 ; 407 ; 192 ; 97; 36 ; 27 ; 32; 15;  2; 0
ALCU042.COB ; 431 ; 407 ; 190 ; 97; 36 ; 27 ; 32; 15;  2; 0
ALCU045.COB ; 2888 ; 2158 ; 875 ; 437; 100 ; 82 ; 94; 52;  2; 0
ALCU047.COB ; 1783 ; 993 ; 538 ; 239; 114 ; 91 ; 98; 49;  12; 0
ALCU050.COB ; 4361 ; 3660 ; 1658 ; 1185; 32 ; 24 ; 28; 15;  2; 0
ALCU051.COB ; 1211 ; 765 ; 283 ; 165; 49 ; 45 ; 43; 26;  4; 0
ALCU052.COB ; 1812 ; 1136 ; 465 ; 158; 68 ; 38 ; 62; 22;  2; 0
ALCU053.COB ; 1396 ; 1063 ; 469 ; 210; 73 ; 49 ; 65; 27;  6; 0
ALCU061.COB ; 3309 ; 1983 ; 965 ; 461; 39 ; 27 ; 33; 13;  2; 0
ALCU062.COB ; 1912 ; 1125 ; 531 ; 260; 151 ; 118 ; 145; 77;  2; 0
ALCU063.COB ; 1916 ; 1420 ; 468 ; 298; 64 ; 77 ; 56; 39;  4; 0
ALCU064.COB ; 3210 ; 1344 ; 365 ; 197; 41 ; 36 ; 35; 18;  2; 0
ALCU065.COB ; 2635 ; 1761 ; 600 ; 382; 34 ; 48 ; 32; 23;  2; 0
ALCU066.COB ; 941 ; 534 ; 187 ; 88; 50 ; 57 ; 44; 27;  2; 0
ALCU067.COB ; 627 ; 417 ; 95 ; 44; 29 ; 35 ; 27; 19;  0; 2
ALCU068.COB ; 782 ; 411 ; 108 ; 60; 61 ; 63 ; 57; 36;  2; 0
ALCU069.COB ; 1677 ; 1021 ; 524 ; 355; 75 ; 66 ; 50; 29;  0; 2
ALCU070.COB ; 6206 ; 3961 ; 622 ; 352; 24 ; 16 ; 18; 8;  2; 0
ALCU071.COB ; 246 ; 222 ; 115 ; 30; 61 ; 56 ; 55; 24;  2; 0
ALCU080.COB ; 1215 ; 986 ; 431 ; 197; 85 ; 83 ; 83; 53;  2; 0
ALCU081.COB ; 1170 ; 890 ; 282 ; 143; 115 ; 78 ; 107; 47;  4; 0
ALCU082.COB ; 613 ; 296 ; 105 ; 46; 28 ; 21 ; 22; 11;  2; 0
ALCU100.COB ; 747 ; 559 ; 142 ; 56; 42 ; 41 ; 36; 22;  2; 0
ALCU101.COB ; 2944 ; 1221 ; 557 ; 275; 57 ; 56 ; 49; 26;  6; 0
ALCU102.COB ; 6585 ; 2581 ; 657 ; 427; 67 ; 78 ; 59; 42;  4; 0
ALCU103.COB ; 4828 ; 2090 ; 833 ; 453; 52 ; 53 ; 44; 26;  6; 0
ALCU250.COB ; 1677 ; 1220 ; 675 ; 364; 253 ; 287 ; 251; 183;  2; 0
ALCU252.COB ; 470 ; 319 ; 132 ; 69; 77 ; 71 ; 75; 45;  2; 0
ALCU254.COB ; 3928 ; 3652 ; 1883 ; 1236; 661 ; 844 ; 655; 522;  4; 0
ALCU260.COB ; 1652 ; 1266 ; 825 ; 504; 274 ; 281 ; 270; 191;  2; 0
ALCU261.COB ; 875 ; 624 ; 321 ; 168; 141 ; 175 ; 135; 98;  4; 0
ALCU262.COB ; 1330 ; 877 ; 478 ; 296; 128 ; 144 ; 125; 91;  2; 0
ALCU263.COB ; 1351 ; 902 ; 385 ; 176; 72 ; 52 ; 62; 27;  6; 0
ALCU264.COB ; 447 ; 284 ; 84 ; 59; 58 ; 82 ; 51; 45;  7; 0
ALCU265.COB ; 876 ; 586 ; 312 ; 141; 4 ; 7 ; 2; 3;  1; 0
ALCVD40.COB ; 616 ; 451 ; 189 ; 88; 41 ; 34 ; 33; 17;  4; 0
ALCVD41.COB ; 1235 ; 915 ; 349 ; 208; 65 ; 58 ; 57; 28;  4; 0
ALCVD42.COB ; 1169 ; 877 ; 337 ; 196; 65 ; 58 ; 57; 28;  4; 0
ALCVD43.COB ; 1074 ; 765 ; 277 ; 180; 41 ; 34 ; 33; 17;  4; 0
ALCVD44.COB ; 962 ; 682 ; 235 ; 138; 41 ; 34 ; 33; 17;  4; 0
ALCVD45.COB ; 800 ; 583 ; 225 ; 128; 41 ; 34 ; 33; 17;  4; 0
ALCVD46.COB ; 728 ; 534 ; 211 ; 114; 41 ; 34 ; 33; 17;  4; 0
ALCVD47.COB ; 970 ; 740 ; 305 ; 164; 65 ; 58 ; 57; 28;  4; 0
ALCVD69.COB ; 795 ; 607 ; 273 ; 121; 65 ; 58 ; 57; 28;  4; 0
ALCVD70.COB ; 963 ; 741 ; 301 ; 156; 65 ; 58 ; 57; 28;  4; 0
ALCVD71.COB ; 678 ; 493 ; 201 ; 100; 41 ; 34 ; 33; 17;  4; 0
ALCVF01.COB ; 1130 ; 900 ; 323 ; 182; 65 ; 58 ; 57; 28;  4; 0
ALCVF05.COB ; 852 ; 656 ; 285 ; 144; 65 ; 58 ; 57; 28;  4; 0
ALCVF08.COB ; 1132 ; 842 ; 333 ; 192; 65 ; 58 ; 57; 28;  4; 0
ALCVF11.COB ; 1618 ; 1131 ; 369 ; 272; 41 ; 34 ; 33; 17;  4; 0
ALCVF12.COB ; 1711 ; 1197 ; 399 ; 302; 41 ; 34 ; 33; 17;  4; 0
ALCVF13.COB ; 1565 ; 1099 ; 371 ; 274; 41 ; 34 ; 33; 17;  4; 0
ALCVF14.COB ; 1127 ; 844 ; 331 ; 190; 65 ; 58 ; 57; 28;  4; 0
ALCVF21.COB ; 836 ; 642 ; 281 ; 140; 65 ; 58 ; 57; 28;  4; 0
AMPB402.COB ; 1350 ; 1010 ; 318 ; 164; 238 ; 279 ; 232; 133;  2; 0
AMPB424.COB ; 1576 ; 1259 ; 430 ; 267; 376 ; 454 ; 374; 252;  2; 0
AMPB431.COB ; 3845 ; 2636 ; 524 ; 307; 135 ; 158 ; 131; 92;  2; 0
AMPB432.COB ; 2124 ; 1151 ; 316 ; 163; 138 ; 155 ; 134; 74;  2; 0
AMPB433.COB ; 3033 ; 1332 ; 388 ; 206; 176 ; 198 ; 170; 92;  4; 0
AMPB434.COB ; 3047 ; 1344 ; 388 ; 206; 176 ; 198 ; 170; 92;  4; 0
AMPB500.COB ; 1766 ; 1164 ; 424 ; 250; 35 ; 31 ; 33; 17;  0; 2
AMPB910.COB ; 3067 ; 2539 ; 1610 ; 471; 86 ; 79 ; 80; 48;  4; 0
AMPC100.COB ; 2001 ; 1279 ; 688 ; 262; 74 ; 71 ; 70; 41;  2; 0
AMPC110.COB ; 2156 ; 1399 ; 749 ; 275; 78 ; 75 ; 74; 41;  2; 0
AMPC120.COB ; 2156 ; 1399 ; 749 ; 275; 78 ; 75 ; 74; 41;  2; 0
