filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2
ALCP041.COB ; 879 ; 608 ; 121 ; 37; False;62 ; 48 ; 54; 20;  0; 2
ALCP042.COB ; 4071 ; 929 ; 308 ; 148; False;110 ; 93 ; 88; 40;  2; 4
ALCP052.COB ; 2199 ; 1168 ; 416 ; 178; False;67 ; 52 ; 55; 28;  0; 2
ALCP070.COB ; 2933 ; 1101 ; 369 ; 160; False;87 ; 70 ; 77; 42;  0; 2
ALCP071.COB ; 996 ; 712 ; 224 ; 69; True;126 ; 73 ; 124; 46;  2; 0
ALCP072.COB ; 3668 ; 1107 ; 423 ; 174; False;146 ; 124 ; 130; 65;  4; 2
ALCP076.COB ; 3196 ; 1820 ; 611 ; 369; False;170 ; 150 ; 148; 85;  0; 2
ALCP077.COB ; 5308 ; 1902 ; 616 ; 342; False;101 ; 92 ; 91; 53;  0; 2
ALCP078.COB ; 1016 ; 723 ; 208 ; 106; False;98 ; 72 ; 88; 39;  0; 2
ALCP079.COB ; 1889 ; 1241 ; 386 ; 189; False;139 ; 144 ; 123; 52;  2; 2
ALCP080.COB ; 1361 ; 553 ; 124 ; 39; False;65 ; 38 ; 57; 20;  0; 2
ALCP081.COB ; 2955 ; 1471 ; 431 ; 208; False;151 ; 124 ; 135; 60;  4; 2
ALCP082.COB ; 2554 ; 935 ; 254 ; 134; False;124 ; 113 ; 103; 42;  2; 2
ALCP083.COB ; 5607 ; 3020 ; 1383 ; 838; False;110 ; 100 ; 80; 42;  2; 4
ALCP084.COB ; 3690 ; 1257 ; 405 ; 195; False;108 ; 99 ; 90; 42;  0; 6
ALCP089.COB ; 1778 ; 670 ; 240 ; 74; False;107 ; 76 ; 91; 38;  0; 2
ALCP090.COB ; 7835 ; 4541 ; 1693 ; 858; False;65 ; 52 ; 53; 28;  0; 2
ALCP091.COB ; 3476 ; 1419 ; 463 ; 207; True;161 ; 112 ; 157; 70;  4; 0
ALCP094.COB ; 2022 ; 1539 ; 550 ; 134; True;295 ; 99 ; 295; 69;  0; 0
ALCP095.COB ; 1159 ; 756 ; 212 ; 108; True;87 ; 62 ; 87; 43;  0; 0
ALCP097.COB ; 2708 ; 1219 ; 406 ; 183; False;48 ; 45 ; 38; 17;  2; 2
ALCP120.COB ; 1791 ; 1050 ; 490 ; 164; False;64 ; 40 ; 54; 16;  0; 4
ALCP201.COB ; 8665 ; 5929 ; 3183 ; 1483; False;106 ; 92 ; 98; 48;  0; 2
ALCP202.COB ; 1512 ; 912 ; 370 ; 106; False;134 ; 89 ; 124; 46;  0; 2
ALCP206.COB ; 1638 ; 1095 ; 411 ; 166; False;96 ; 95 ; 88; 46;  0; 2
ALCP208.COB ; 2097 ; 1076 ; 377 ; 143; False;165 ; 116 ; 157; 58;  0; 2
ALCP209.COB ; 3053 ; 1646 ; 457 ; 261; False;109 ; 91 ; 95; 38;  4; 2
ALCP215.COB ; 1075 ; 685 ; 205 ; 105; True;97 ; 65 ; 97; 45;  0; 0
ALCP218.COB ; 1579 ; 705 ; 205 ; 77; False;119 ; 55 ; 111; 29;  0; 2
ALCP221.COB ; 828 ; 666 ; 238 ; 112; False;114 ; 106 ; 95; 43;  2; 4
ALCP242.COB ; 4170 ; 2717 ; 1214 ; 517; False;103 ; 58 ; 93; 31;  0; 1
ALCP243.COB ; 4163 ; 2826 ; 1063 ; 665; False;85 ; 74 ; 69; 36;  2; 1
ALCP244.COB ; 7357 ; 4113 ; 1509 ; 702; False;166 ; 174 ; 146; 66;  2; 1
ALCP246.COB ; 1509 ; 1327 ; 734 ; 361; False;458 ; 414 ; 438; 200;  4; 2
ALCP247.COB ; 643 ; 467 ; 119 ; 43; True;90 ; 81 ; 84; 29;  2; 2
ALCP250.COB ; 1339 ; 889 ; 327 ; 133; False;147 ; 159 ; 133; 62;  6; 4
ALCP252.COB ; 1496 ; 1322 ; 709 ; 353; False;429 ; 384 ; 409; 186;  2; 2
ALCP254.COB ; 1896 ; 1684 ; 943 ; 478; False;144 ; 112 ; 134; 51;  2; 0
ALCP256.COB ; 1589 ; 1407 ; 782 ; 393; False;240 ; 216 ; 222; 97;  4; 2
ALCP259.COB ; 604 ; 407 ; 107 ; 31; False;75 ; 44 ; 71; 17;  2; 0
ALCP262.COB ; 1329 ; 773 ; 307 ; 128; False;92 ; 77 ; 82; 39;  0; 2
