filename; file size V1; file size V2; LTS size V1; LTS size V2; Equivalent; Explored V1 ; Explored V2 ; matches V1; matches V2; skipped V1; skipped V2;133;%Explored V1;% Explored V2;%Match V1;%Match V2;; Explored V2 ; matches V2;% Ex;% match;Inc ex;inc Match;
ALCP420.COB ;3673;1291;436;198; False;60;29;60;27;0;0;;14%;15%;14%;14%;;32;28;16%;14%;1%;0%;
ALCP421.COB ;951;554;241;66; False;26;10;24;8;0;0;;11%;15%;10%;12%;;16;8;24%;12%;9%;0%;
ALCP422.COB ;1528;953;410;146; False;34;13;32;11;0;0;;8%;9%;8%;8%;;19;11;13%;8%;4%;0%;
ALCP423.COB ;2538;681;279;74; False;30;10;28;8;0;0;;11%;14%;10%;11%;;16;8;22%;11%;8%;0%;
ALCP424.COB ;846;588;143;59; False;58;25;56;23;0;0;;41%;42%;39%;39%;;27;23;46%;39%;4%;0%;
ALCP425.COB ;1136;436;112;51; False;50;20;48;18;0;0;;45%;39%;43%;35%;;23;18;45%;35%;6%;0%;
ALCP470.COB ;2494;1615;512;274; False;75;43;75;41;0;0;;15%;16%;15%;15%;;65;51;24%;19%;8%;4%;
ALCP500.COB ;5124;3373;1534;600; False;56;15;54;13;0;0;;4%;3%;4%;2%;;31;21;5%;4%;2%;2%;
ALCP502.COB ;6183;3301;1341;511; False;155;43;155;41;0;0;;12%;8%;12%;8%;;50;43;10%;8%;2%;0%;
ALCP504.COB ;6370;3090;1101;475; False;131;35;129;33;0;0;;12%;7%;12%;7%;;54;29;11%;6%;4%;-1%;
ALCP505.COB ;601;413;127;34; False;63;25;63;23;0;0;;50%;74%;50%;68%;;25;17;74%;50%;0%;-18%;
ALCP519.COB ;6619;3743;1677;842; False;32;16;32;14;0;0;;2%;2%;2%;2%;;24;18;3%;2%;1%;0%;
ALCP520.COB ;5343;1785;757;371; False;26;14;26;12;0;0;;3%;4%;3%;3%;;24;14;6%;4%;2%;1%;
ALCP540.COB ;8943;4983;2305;1162; False;35;13;35;11;0;0;;2%;1%;2%;1%;;28;24;2%;2%;1%;1%;
ALCP542.COB ;6527;1410;620;290; False;82;43;82;41;0;0;;13%;15%;13%;14%;;54;43;19%;15%;4%;1%;
ALCP543.COB ;1232;435;76;21; False;44;17;44;15;0;0;;58%;81%;58%;71%;;21;17;100%;81%;19%;10%;
ALCP544.COB ;1349;812;225;67; False;24;9;22;7;0;0;;11%;13%;10%;10%;;64;44;96%;66%;83%;56%;
ALCP545.COB ;564;407;122;36; False;23;8;21;6;0;0;;19%;22%;17%;17%;;36;28;100%;78%;78%;61%;
ALCP550.COB ;2291;780;307;134; False;57;27;57;24;0;0;;19%;20%;19%;18%;;29;22;22%;16%;2%;-2%;
ALCP551.COB ;874;616;218;72; False;55;21;53;21;0;0;;25%;29%;24%;29%;;23;13;32%;18%;3%;-11%;
ALCP552.COB ;743;526;188;61; False;54;27;52;25;0;0;;29%;44%;28%;41%;;35;31;57%;51%;13%;10%;
