mean(T/F); filename; file size; fuzzy time (s); parsing time (s); parsing/fuzzy;
T; Cobol_85/SM101A.cob;569;0.038549638;0.2964;7.688788154;
T; Cobol_85/SM102A.cob;393;0.040850151;0.40255;9.854308739;
T; Cobol_85/SM103A.cob;555;0.081049776;0.35345;4.360900393;
T; Cobol_85/SM104A.cob;449;0.044750082;0.27165;6.070379938;
T; Cobol_85/SM105A.cob;612;0.078500223;0.32795;4.177695139;
T; Cobol_85/SM107A.cob;312;0.019699943;0.2627;13.33506396;
T; Cobol_85/SM201A.cob;634;0.045799899;0.34625;7.56006034;
T; Cobol_85/SM202A.cob;529;0.050800061;0.32635;6.424204884;
T; Cobol_85/SM203A.cob;379;0.049150229;0.2978;6.058974822;
T; Cobol_85/SM204A.cob;397;0.040702665;0.3078;7.562158399;
T; Cobol_85/SM205A.cob;621;0.072199607;0.30995;4.292959656;
T; Cobol_85/SQ101M.cob;1881;0.133300579;0.2874;2.156029645;
T; Cobol_85/SQ102A.cob;841;0.083149898;0.34305;4.125681549;
T; Cobol_85/SQ103A.cob;1055;0.110449123;0.33745;3.05525287;
T; Cobol_85/SQ104A.cob;845;0.079999769;0.3383;4.228762211;
T; Cobol_85/SQ105A.cob;1174;0.123700821;0.354;2.861743335;
T; Cobol_85/SQ106A.cob;2660;0.35579989;0.358;1.00618356;
T; Cobol_85/SQ107A.cob;708;0.073450422;0.34975;4.761715324;
T; Cobol_85/SQ108A.cob;799;0.085149622;0.31285;3.674120832;
T; Cobol_85/SQ109M.cob;615;0.062500286;0.3294;5.270375883;
T; Cobol_85/SQ110M.cob;615;0.063177943;0.3487;5.519331327;
T; Cobol_85/SQ111A.cob;491;0.052407849;0.3352;6.395988509;
T; Cobol_85/SQ112A.cob;686;0.06952374;0.3297;4.742265016;
T; Cobol_85/SQ113A.cob;1022;0.103399932;0.28955;2.800291977;
T; Cobol_85/SQ114A.cob;962;0.104749882;0.30265;2.889263398;
T; Cobol_85/SQ115A.cob;584;0.058199322;0.33045;5.677901196;
T; Cobol_85/SQ116A.cob;957;0.106150186;0.333;3.137064687;
